  ars  |                gen                |                                    st_extent                                     
 03355 | Lüneburg                          | BOX(10.036090050437494 53.0430018151303,11.19532805569341 53.385844206540874)
 15003 | Magdeburg                         | BOX(11.51853972801934 52.02519234227775,11.763942794562755 52.228420541138334)
 06435 | Main-Kinzig-Kreis                 | BOX(8.780628992470264 50.06622345964201,9.748897227450803 50.46343641668667)
 09677 | Main-Spessart                     | BOX(9.372799803640232 49.74454110504067,10.04616203449674 50.24347390878195)
 08128 | Main-Tauber-Kreis                 | BOX(9.295673221395361 49.35219816758438,10.161698240226038 49.791477649801095)
 06436 | Main-Taunus-Kreis                 | BOX(8.316891988591324 49.996512748542195,8.600767042169831 50.20278507100353)
 07315 | Mainz                             | BOX(8.14342669745198 49.89555309721794,8.343030535323873 50.03529620603235)
 07339 | Mainz-Bingen                      | BOX(7.66475516090647 49.748534728253496,8.400054880365984 50.08259041673055)
 08222 | Mannheim                          | BOX(8.414139833811433 49.411041657445075,8.590068469753463 49.59047837749402)
 15087 | Mansfeld-Südharz                  | BOX(10.88205162928592 51.33981013996125,11.780369766348965 51.72993963585697)
 06534 | Marburg-Biedenkopf                | BOX(8.354630481432288 50.67376985589346,9.151586694425866 50.996706815948386)
 05962 | Märkischer Kreis                  | BOX(7.417653962174995 51.06852347050554,7.950876044459657 51.47853332609382)
 12064 | Märkisch-Oderland                 | BOX(13.610543075492975 52.373968471990594,14.639785638879738 52.903294496170844)
 07137 | Mayen-Koblenz                     | BOX(6.973801719681931 50.16012964975673,7.680986555043068 50.476613304665086)
 13071 | Mecklenburgische Seenplatte       | BOX(12.27514555748778 53.1625265669132,13.795998334997458 54.00493765445061)
 14627 | Meißen                            | BOX(13.182201463841153 51.007303368413936,13.85650250153984 51.45417172448884)
 09764 | Memmingen                         | BOX(10.084673156579322 47.91565048834828,10.233976825569634 48.047457525803836)
 10042 | Merzig-Wadern                     | BOX(6.356947242646854 49.37216086133269,6.963020678279488 49.61342263351361)
 05158 | Mettmann                          | BOX(6.799827071695813 51.0648856225184,7.169593920893816 51.38149549675839)
 09182 | Miesbach                          | BOX(11.597967404883033 47.58121483652233,12.062403657594011 47.94258625652215)
 09676 | Miltenberg                        | BOX(9.033336125006567 49.573558993987156,9.478939718850132 49.93841215400053)
 05770 | Minden-Lübbecke                   | BOX(8.29721368130394 52.16251418808809,9.136708747385889 52.53144342795385)
 14522 | Mittelsachsen                     | BOX(12.617354751069186 50.63364300565828,13.652173819600524 51.234662034276006)
 05116 | Mönchengladbach                   | BOX(6.291135663811776 51.08596359865806,6.537117808223305 51.2478491629858)
 09183 | Mühldorf a. Inn                   | BOX(12.032141516260003 48.08308210110855,12.609472207096221 48.42967570997561)
 05117 | Mülheim an der Ruhr               | BOX(6.804930922402685 51.35124100020716,6.959254577963725 51.47128542253298)
 09162 | München                           | BOX(11.360877208388954 48.061553773584585,11.72308253327021 48.24814577602211)
 09184 | München                           | BOX(11.385188521839643 47.917014349535364,11.852084666936 48.299545801297384)
 05515 | Münster                           | BOX(7.473962942770499 51.84019115132987,7.774221787742104 52.060175509627605)
 08225 | Neckar-Odenwald-Kreis             | BOX(8.937966286994317 49.27171448240118,9.603822915753083 49.66350784853561)
 09185 | Neuburg-Schrobenhausen            | BOX(10.947425369912906 48.463677306604524,11.457420273537743 48.82293482569923)
 09373 | Neumarkt i.d. OPf.                | BOX(11.185988266934576 48.951497125261575,11.942517099736685 49.4324781150978)
 01004 | Neumünster                        | BOX(9.92568089205302 54.01749028765027,10.058318227870213 54.149884828268604)
 10043 | Neunkirchen                       | BOX(6.916913596217148 49.287300581515076,7.292601446301563 49.441271831719256)
 09575 | Neustadt a.d. Aisch-Bad Windsheim | BOX(10.069613723286722 49.410086539109145,10.82142999948739 49.756260064276326)
 09374 | Neustadt a.d. Waldnaab            | BOX(11.628742610232358 49.50390547543115,12.593778437276137 49.85621029091704)
 07316 | Neustadt an der Weinstraße        | BOX(7.999564369745268 49.296083233098834,8.317406155459564 49.40088769249512)
 09775 | Neu-Ulm                           | BOX(9.967275614675962 48.108459268124186,10.315164180838968 48.47750435493734)
 07138 | Neuwied                           | BOX(7.209976780497048 50.4117278908404,7.71147269582162 50.71821864136498)
 03256 | Nienburg (Weser)                  | BOX(8.698548986054709 52.38787222298888,9.537840543017978 52.90953407604633)
 01054 | Nordfriesland                     | BOX(8.278555583726117 54.26197778793071,9.327241684932668 55.05877771563171)
 16062 | Nordhausen                        | BOX(10.470577173847834 51.36447066523801,10.979680169925567 51.64900827383965)
 14730 | Nordsachsen                       | BOX(12.148672567054438 51.19968807820084,13.216635542460507 51.68497371608557)
 13074 | Nordwestmecklenburg               | BOX(10.747711196461857 53.56643671852903,11.810478223440949 54.03407850696659)
 03155 | Northeim                          | BOX(9.417317501499637 51.55207694635005,10.162046912578848 51.947798652064286)
 09564 | Nürnberg                          | BOX(10.987927983367976 49.33193736548466,11.28013337449406 49.5403334403064)
 09574 | Nürnberger Land                   | BOX(11.128308923011522 49.302221059259736,11.601550345607611 49.71507236326628)
 09780 | Oberallgäu                        | BOX(9.958324294923933 47.27012360470945,10.511613351441238 47.86363962610397)
 05374 | Oberbergischer Kreis              | BOX(7.252578064197369 50.8186222839175,7.792022809416213 51.25031506992746)
 05119 | Oberhausen                        | BOX(6.777073120668455 51.448913918180274,6.930682076528781 51.579648229458144)
 12065 | Oberhavel                         | BOX(12.825030572725932 52.58674246221023,13.520947632526083 53.25111397867593)
 12066 | Oberspreewald-Lausitz             | BOX(13.634136634230371 51.35902035179621,14.217466864208726 51.903106200609834)
 06437 | Odenwaldkreis                     | BOX(8.784447721557227 49.47063680749881,9.150809170042235 49.85571239390138)
 12067 | Oder-Spree                        | BOX(13.666980239479987 51.999875532084815,14.759100960172638 52.502764288749816)
 06438 | Offenbach                         | BOX(8.590890435834394 49.947317973614204,9.048820260170018 50.133509587942086)
 06413 | Offenbach am Main                 | BOX(8.717834173113753 50.04695628807226,8.843302966849885 50.13730174789012)
 03458 | Oldenburg                         | BOX(8.050830267448276 52.797884977889154,8.69402693583969 53.172148887857645)
 03403 | Oldenburg (Oldb)                  | BOX(8.128036123363099 53.08234897340441,8.312263982763294 53.20515659564362)
 05966 | Olpe                              | BOX(7.701628277932333 50.92464006566762,8.245912790939107 51.248206559266855)
 08317 | Ortenaukreis                      | BOX(7.680713204637375 48.158224193540704,8.33047393516373 48.71858108155758)
 03404 | Osnabrück                         | BOX(7.93016303965859 52.22054918548423,8.180514163277742 52.33876595049798)
 03459 | Osnabrück                         | BOX(7.60397103206272 52.035510015698065,8.517437324295384 52.709339206912986)
 08136 | Ostalbkreis                       | BOX(9.619061777041694 48.714651517175405,10.457107387714885 49.06086347234387)
 09777 | Ostallgäu                         | BOX(10.326035148703443 47.513938538129345,10.952785696837772 48.11145112471781)
 03356 | Osterholz                         | BOX(8.48073469326699 53.125076364495705,9.071452822421099 53.39572169262681)
 01055 | Ostholstein                       | BOX(10.417470905709864 53.87955583931647,11.312892395727449 54.53610685124689)
 12068 | Ostprignitz-Ruppin                | BOX(12.120213078471037 52.681312774663574,13.056772845629043 53.32130150791617)
 05774 | Paderborn                         | BOX(8.403107785796061 51.44730147490181,9.017366241224252 51.87709411907214)
 09262 | Passau                            | BOX(13.302457581073028 48.540449548205565,13.51427273661375 48.61339240533381)
 09275 | Passau                            | BOX(12.983372797011464 48.29294958123783,13.83757629389458 48.761705747510376)
 03157 | Peine                             | BOX(9.995125097021093 52.174964699680594,10.45300928147772 52.44850141653768)
 09186 | Pfaffenhofen a.d. Ilm             | BOX(11.29510839634866 48.406165928225384,11.71999627632927 48.814335326222526)
 08231 | Pforzheim                         | BOX(8.625697802251347 48.81992428533795,8.808609273626306 48.9295777102039)
 01056 | Pinneberg                         | BOX(7.869099861200531 53.55758091193916,9.984677223594018 54.193011216882226)
 07317 | Pirmasens                         | BOX(7.514249218335651 49.14133836186468,7.673350560991187 49.23474240612117)
 01057 | Plön                              | BOX(10.016101522903512 54.0547901678047,10.729284961246268 54.435869743941176)
 12054 | Potsdam                           | BOX(12.888410253169795 52.342942127472305,13.165897844431859 52.514763107824784)
 12069 | Potsdam-Mittelmark                | BOX(12.216783136648207 51.97927464166408,13.31277603711114 52.55713484842221)
 12070 | Prignitz                          | BOX(11.265731920702704 52.87572909006924,12.418850412698328 53.371419405980795)
 08216 | Rastatt                           | BOX(7.959630743100802 48.58669494315054,8.485198283877578 48.98091685046718)
 08436 | Ravensburg                        | BOX(9.376013618327505 47.60177467218146,10.139665287927283 48.005548406122365)
 05562 | Recklinghausen                    | BOX(6.894253130459842 51.52073332415542,7.465275097067922 51.821920945809495)
 09276 | Regen                             | BOX(12.76376183535488 48.857224679628764,13.416651401068666 49.173579733585576)
 09362 | Regensburg                        | BOX(12.02934838871273 48.96693332919484,12.191706787995342 49.076225535113394)
 09375 | Regensburg                        | BOX(11.659064975347485 48.7649230039512,12.491274033235243 49.223642862895545)
 10041 | Regionalverband Saarbrücken       | BOX(6.711208355730201 49.11191501093337,7.137248388314029 49.37766835220762)
 03241 | Region Hannover                   | BOX(9.238116665048734 52.12835846355695,10.303397308260587 52.67704727038929)
 05120 | Remscheid                         | BOX(7.131223864632151 51.14327670599235,7.309180794581293 51.225376034039975)
 08119 | Rems-Murr-Kreis                   | BOX(9.23732746203386 48.74050610811392,9.769657722171369 49.07900070475336)
 01058 | Rendsburg-Eckernförde             | BOX(9.304147644969007 54.008885378714595,10.199382744928638 54.647008230159805)
 08415 | Reutlingen                        | BOX(9.114596139606519 48.194882001577774,9.638795525710146 48.6056469861685)
 05362 | Rhein-Erft-Kreis                  | BOX(6.453228547948681 50.71783108720049,7.03018139218159 51.06605980681333)
 06439 | Rheingau-Taunus-Kreis             | BOX(7.772490637258533 49.971842871845496,8.410851441812511 50.29620918120104)
 07140 | Rhein-Hunsrück-Kreis              | BOX(7.202684667034385 49.84046801333417,7.764844637604518 50.265493407295715)
 05378 | Rheinisch-Bergischer Kreis        | BOX(6.990384983009461 50.8672942843572,7.398479284335865 51.16084111854703)
 05162 | Rhein-Kreis Neuss                 | BOX(6.436434584533202 51.01508882001524,6.883558361461705 51.33669343316525)
 07141 | Rhein-Lahn-Kreis                  | BOX(7.578434960786514 50.06654010395368,8.122847727074474 50.41478464605599)
 08226 | Rhein-Neckar-Kreis                | BOX(8.45048452093735 49.174387512403484,9.100916623555227 49.6259469747337)
 07338 | Rhein-Pfalz-Kreis                 | BOX(8.232727444457817 49.24981651808419,8.50835743081298 49.607619934903525)
 05382 | Rhein-Sieg-Kreis                  | BOX(6.854292878794944 50.5559073589013,7.68222241859955 50.949751763234644)
 09673 | Rhön-Grabfeld                     | BOX(9.920382920499438 50.196381832264365,10.611389918211586 50.56422474230886)
 09163 | Rosenheim                         | BOX(12.054313304823875 47.81045932339153,12.153129462204914 47.88711346031603)
 09187 | Rosenheim                         | BOX(11.801841910376396 47.600866652953314,12.44403211704975 48.1431776217968)
 13003 | Rostock                           | BOX(11.998484676910941 54.05061844836961,12.293672760743164 54.24469567577811)
 13072 | Rostock                           | BOX(11.511437448697453 53.56730223181264,12.815981384920613 54.274951930629136)
 03357 | Rotenburg (Wümme)                 | BOX(8.89649252458554 52.917411134987674,9.75839467738797 53.59382706073802)
 09576 | Roth                              | BOX(10.83723449447217 48.9979301893586,11.426517891602819 49.391622403043414)
 09277 | Rottal-Inn                        | BOX(12.470559611004612 48.20669256707139,13.177042787422357 48.61706917486057)
 08325 | Rottweil                          | BOX(8.276832583318678 48.071141088997834,8.753246503824208 48.41098436174274)
 16074 | Saale-Holzland-Kreis              | BOX(11.420530584235811 50.74682226541382,12.021172270946098 51.08777536884235)
 15088 | Saalekreis                        | BOX(11.392966719117583 51.233352855342865,12.208334791387703 51.67539145861113)
 16075 | Saale-Orla-Kreis                  | BOX(11.45991565024583 50.37426848175533,11.964839854240962 50.79928573189593)
 16073 | Saalfeld-Rudolstadt               | BOX(10.966324202775606 50.42082107950691,11.633629875875863 50.83500871505044)
 10044 | Saarlouis                         | BOX(6.537274641047262 49.21527431067441,6.989319320028007 49.50170365934156)
 10045 | Saarpfalz-Kreis                   | BOX(7.06210624434039 49.114907328609604,7.403773227675336 49.40822248281149)
 14628 | Sächsische Schweiz-Osterzgebirge  | BOX(13.421380184082517 50.7169238165126,14.402143729178459 51.08987143027535)
 03102 | Salzgitter                        | BOX(10.230609364389341 52.01303069373694,10.507711254617465 52.222774833974775)
 15089 | Salzlandkreis                     | BOX(11.239632230676628 51.628807355380225,12.0199598261615 52.09320151249519)
 03257 | Schaumburg                        | BOX(8.963536742965307 52.0942814301809,9.448309576227864 52.45474107765541)
 01059 | Schleswig-Flensburg               | BOX(9.062382085896205 54.271648523463924,10.043211288357622 54.88697021592627)
 16066 | Schmalkalden-Meiningen            | BOX(10.03719106873619 50.392532456605885,10.754757768073272 50.851330088855974)
 09565 | Schwabach                         | BOX(10.970355995552469 49.29343576079661,11.087424452477986 49.37588503889561)
 08127 | Schwäbisch Hall                   | BOX(9.497408448778982 48.917595878431136,10.264630448288564 49.39516009103436)
 06634 | Schwalm-Eder-Kreis                | BOX(8.972673655430272 50.772845402601405,9.780937389146965 51.257646868328635)
 09376 | Schwandorf                        | BOX(11.934220342249851 49.143352476598295,12.644250380416697 49.59401122125076)
 08326 | Schwarzwald-Baar-Kreis            | BOX(8.109586739058479 47.770493484191256,8.663061326726458 48.186949443357776)
 09662 | Schweinfurt                       | BOX(10.165328332538934 50.00943485410724,10.27505472454848 50.094841099981636)
 09678 | Schweinfurt                       | BOX(9.957138050512075 49.82072593144852,10.531295783718516 50.23165952564968)
 13004 | Schwerin                          | BOX(11.295766849585995 53.54441173319748,11.505555737862885 53.6875200463708)
 01060 | Segeberg                          | BOX(9.751445145760782 53.64723457417635,10.563627487811527 54.107715004182694)
 05970 | Siegen-Wittgenstein               | BOX(7.826699861653057 50.68542016861473,8.549084808247144 51.14946733286356)
 08437 | Sigmaringen                       | BOX(8.934216865875745 47.8172149187994,9.60491269992127 48.28905788494178)
 05974 | Soest                             | BOX(7.827151339420522 51.388505981984686,8.585998601497332 51.72859846225159)
 05122 | Solingen                          | BOX(6.951093808362506 51.115240439477496,7.173950550805252 51.22050298086294)
 16068 | Sömmerda                          | BOX(10.862429419462833 51.009112971887944,11.485548328444816 51.32261810513445)
 16072 | Sonneberg                         | BOX(10.93923995136648 50.26775632068221,11.284966862012325 50.56654752913819)
 07318 | Speyer                            | BOX(8.375421411218918 49.28297553572501,8.49179629461735 49.37607125004566)
 12071 | Spree-Neiße                       | BOX(14.072946851935765 51.50501826641333,14.765701804200381 52.05774290637569)
 03359 | Stade                             | BOX(9.013168475080986 53.33704130217443,9.783694084240942 53.867662629860185)
 05334 | Städteregion Aachen               | BOX(5.974861423017713 50.49436866195726,6.419697450537811 50.950133221536994)
 09188 | Starnberg                         | BOX(11.12922695438924 47.820748495421164,11.434068906222551 48.13622017281806)
 01061 | Steinburg                         | BOX(9.198433535660644 53.707664660524884,9.86432951141909 54.09976563242977)
 05566 | Steinfurt                         | BOX(7.09447985403906 51.99483251627361,8.025188639465869 52.47509025612126)
 15090 | Stendal                           | BOX(11.396533349091124 52.33157799917611,12.257536445168855 53.04179848863356)
 01062 | Stormarn                          | BOX(10.022741462240306 53.49541578945618,10.621853416765452 53.92043686382311)
 09263 | Straubing                         | BOX(12.480215948509455 48.84171546697562,12.667366375716803 48.9242885371837)
 09278 | Straubing-Bogen                   | BOX(12.127661712853213 48.71560323496214,12.891426627600023 49.11945872724856)
 08111 | Stuttgart                         | BOX(9.038993798175252 48.68995617019498,9.315387276070417 48.86724862272665)
 10046 | St. Wendel                        | BOX(6.890421117181571 49.40920178541216,7.309871873369903 49.63943828623843)
 07337 | Südliche Weinstraße               | BOX(7.825709726264824 48.99931664740392,8.324318373690359 49.34379405055648)
 07340 | Südwestpfalz                      | BOX(7.320340967239173 49.03291668224386,7.916699787717879 49.37698657303087)
 16054 | Suhl                              | BOX(10.552010249894893 50.56139611589539,10.844074799328313 50.68853778173853)
 12072 | Teltow-Fläming                    | BOX(12.769780328024236 51.790940277086065,13.652954412247478 52.411619939032704)
 09377 | Tirschenreuth                     | BOX(11.803841012449663 49.75381327040298,12.55125570864797 50.06135973456983)
 09189 | Traunstein                        | BOX(12.323605232330783 47.625017003461785,12.885813014471651 48.163897063115044)
 07211 | Trier                             | BOX(6.552895244526514 49.69901875352657,6.746484737188139 49.857742172292426)
 07235 | Trier-Saarburg                    | BOX(6.35751092925341 49.51702186225946,7.065124742586678 49.91760671810288)
 08416 | Tübingen                          | BOX(8.755710559178432 48.362768305146915,9.17565692632883 48.62281451242014)
 08327 | Tuttlingen                        | BOX(8.586750280729612 47.846245774140634,9.021369949975321 48.1846243004157)
 12073 | Uckermark                         | BOX(13.239651351577908 52.93154916117593,14.450570290738415 53.55870151955179)
 03360 | Uelzen                            | BOX(10.145756208731084 52.76506372971863,10.892681828933275 53.20387231965728)
 08421 | Ulm                               | BOX(9.843086746770535 48.30687804369102,10.04241415261728 48.46850006391118)
 05978 | Unna                              | BOX(7.407750232174687 51.38559376233865,7.84974197284413 51.736311421357044)
 16064 | Unstrut-Hainich-Kreis             | BOX(10.185303319239333 51.031954716287075,10.922568401856477 51.34395729324693)
 09778 | Unterallgäu                       | BOX(10.076755533796396 47.82008750806002,10.70789369773146 48.22965384612139)
 03460 | Vechta                            | BOX(8.013967294588218 52.43294041642593,8.473592487386217 52.88425755540742)
 03361 | Verden                            | BOX(8.90369782317702 52.76771242934053,9.463926744140345 53.18447605293846)
 05166 | Viersen                           | BOX(6.067974199717186 51.1663169882521,6.625992318541753 51.42499774980835)
 06535 | Vogelsbergkreis                   | BOX(8.904528694371093 50.385474246047885,9.650018740040624 50.83664519471345)
 14523 | Vogtlandkreis                     | BOX(11.871462575397967 50.171534964765115,12.584032799789512 50.67708628897963)
 13075 | Vorpommern-Greifswald             | BOX(12.986923590525766 53.25481373566647,14.412381010478853 54.25162865471006)
 13073 | Vorpommern-Rügen                  | BOX(12.278130275291002 53.973836024920125,13.767270057566813 54.68501101115593)
 07233 | Vulkaneifel                       | BOX(6.385005839315206 50.073413371614535,7.070435275818391 50.389485960627795)
 06635 | Waldeck-Frankenberg               | BOX(8.473368208814312 50.93556074182393,9.221377215838476 51.518610669619214)
 08337 | Waldshut                          | BOX(7.871055948297685 47.54378659031542,8.628982774429081 47.858487409971254)
 05570 | Warendorf                         | BOX(7.613227732313902 51.65812456525504,8.320136134018112 52.10408040993071)
 16063 | Wartburgkreis                     | BOX(9.876975921558868 50.62682568499675,10.617221922542711 51.153267719770334)
 09363 | Weiden i.d. OPf.                  | BOX(12.063970659502289 49.61459200658226,12.266508039104808 49.71193420655793)
 09190 | Weilheim-Schongau                 | BOX(10.715888479929342 47.6155661384652,11.42995394515442 47.954845520608465)
 16055 | Weimar                            | BOX(11.234882801369574 50.916712681678526,11.402000739311527 51.03677248519022)
 16071 | Weimarer Land                     | BOX(11.105966851223217 50.79354946724112,11.697217940720641 51.11936512363249)
 09577 | Weißenburg-Gunzenhausen           | BOX(10.630214722944201 48.859356619932825,11.201364464668583 49.20497319565435)
 06636 | Werra-Meißner-Kreis               | BOX(9.624978703301599 50.99224541731581,10.235998831584883 51.42113874791277)
 05170 | Wesel                             | BOX(6.292895966905214 51.389513897029,6.940518348585391 51.817015545954355)
 03461 | Wesermarsch                       | BOX(8.164180405144075 53.09927558302502,8.657680503247766 53.61628254559748)
 07143 | Westerwaldkreis                   | BOX(7.59493515764885 50.34744041119505,8.152160898979478 50.74007047120745)
 06440 | Wetteraukreis                     | BOX(8.514139287321635 50.16192258923217,9.290445677860866 50.50013547014293)
 06414 | Wiesbaden                         | BOX(8.110274580989664 49.994415485159905,8.386064514488751 50.15178818368305)
 03405 | Wilhelmshaven                     | BOX(7.993551129534375 53.50175809510503,8.170974824923464 53.63810899976666)
 15091 | Wittenberg                        | BOX(12.25197671033848 51.61060204136439,13.187071618933059 52.045119281351546)
 03462 | Wittmund                          | BOX(7.407816828077355 53.362888811765615,7.97517266875157 53.78225426924831)
 03158 | Wolfenbüttel                      | BOX(10.175169049196182 51.97051658987892,10.889277622269628 52.30325675450539)
 03103 | Wolfsburg                         | BOX(10.647242588136974 52.31594620493495,10.906861318867175 52.49508041702543)
 07319 | Worms                             | BOX(8.238381483194347 49.58638176479891,8.446377658057662 49.736664704790634)
 09479 | Wunsiedel i. Fichtelgebirge       | BOX(11.789113904018905 49.970724639343295,12.275353647212613 50.22766373264413)
 05124 | Wuppertal                         | BOX(7.014970076244055 51.16637502128069,7.31357020249511 51.3182587582856)
 09663 | Würzburg                          | BOX(9.871673287833596 49.71016182947791,10.014397538342468 49.84563010775308)
 09679 | Würzburg                          | BOX(9.625449125352647 49.48036425405915,10.189162017464243 49.953620853718384)
 08417 | Zollernalbkreis                   | BOX(8.647754607123181 48.10356611270313,9.221772788689705 48.417511477702426)
 07320 | Zweibrücken                       | BOX(7.288958157906892 49.18949914075459,7.448378469026325 49.31635206095397)
 14524 | Zwickau                           | BOX(12.226650524343192 50.5466688297669,12.806067368075373 50.92367790201117)
(400 rows)

